Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",12/01/2020,60.5,53,57.2,,,0.07,0,0,9.8,98.13,,5.6,85.4,81.66,"Rain, Overcast"
"Adana, Türkiye",12/02/2020,69.9,50.3,58.7,,,0.2,0,0,13.9,62.21,,5.4,7,68.62,Rain
"Adana, Türkiye",12/03/2020,71.8,47.4,58.2,48,,0,0,0,7.5,68.33,,5.1,1.5,64.37,Clear
"Adana, Türkiye",12/04/2020,72.5,47.9,57.7,47.1,,0,0,0,9.6,61.83,,5.3,0,57.07,Clear
"Adana, Türkiye",12/05/2020,71.2,50.4,57.8,,,0,0,0,10,58.83,,5.5,0.1,55.86,Clear
"Adana, Türkiye",12/06/2020,70.5,42.2,54.4,42.6,,0,0,0,5.5,128.08,,5.1,0,62.12,Clear
"Adana, Türkiye",12/07/2020,67.1,44.1,55.8,39.8,,0,0,0,7.9,36.13,,5.4,57.9,61.42,Partially cloudy
"Adana, Türkiye",12/08/2020,64.1,53.7,57.8,,,0.05,0,0,13.3,42.08,,5.8,88.9,72.72,"Rain, Overcast"
"Adana, Türkiye",12/09/2020,66.1,48.7,55.4,47.1,,0.28,0,0,12.7,92.33,,5.6,40.3,76.92,"Rain, Partially cloudy"
"Adana, Türkiye",12/10/2020,66.8,45,54.5,43.5,,0,0,0,6.6,99.42,,5.3,0.1,74.97,Clear
"Adana, Türkiye",12/11/2020,62.9,52.5,56.6,,,0.43,0,0,10.5,50.21,,5.6,72.5,74.01,"Rain, Partially cloudy"
"Adana, Türkiye",12/12/2020,68,55.1,60.2,,,0.03,0,0,12.7,25.71,,5.8,86.2,63,"Rain, Overcast"
"Adana, Türkiye",12/13/2020,64.4,58.8,61.1,,,0.01,0,0,12.2,79.33,,5.9,88.9,54.66,"Rain, Overcast"
"Adana, Türkiye",12/14/2020,63.3,56.1,59.4,,,0.35,0,0,20.3,56.63,17.2,5.7,89.3,69.43,"Rain, Overcast"
"Adana, Türkiye",12/15/2020,65.5,55.8,58.8,,,0.6,0,0,11.8,37.17,,5.8,84.5,72.06,"Rain, Overcast"
"Adana, Türkiye",12/16/2020,66.9,55.7,61.1,,,0.01,0,0,19.5,42.88,,6.2,88.9,59.42,"Rain, Overcast"
"Adana, Türkiye",12/17/2020,70.9,51,59.5,,,0.03,0,0,6.4,84.71,,5.7,33.2,67.84,"Rain, Partially cloudy"
"Adana, Türkiye",12/18/2020,68,42.5,54,40.7,,0,0,0,5.8,84,,5.4,2.6,66.24,Clear
"Adana, Türkiye",12/19/2020,65.4,46.1,54.7,45.2,,0,0,0,9.1,120.17,,6,36.4,60.98,Partially cloudy
"Adana, Türkiye",12/20/2020,65.1,43.5,52.2,40.4,,0,0,0,7.2,51.33,,5.5,0,58.24,Clear
"Adana, Türkiye",12/21/2020,64.7,43.6,54.2,43.5,,0,0,0,8.1,98.54,,5.6,4.2,62.64,Clear
"Adana, Türkiye",12/22/2020,66.9,46.1,55.9,47.8,,0,0,0,8.4,119.04,,5.6,13.7,58.71,Clear
"Adana, Türkiye",12/23/2020,63,47.5,54.4,43.3,,0.04,0,0,10.8,99.21,,5.8,26.2,50.64,"Rain, Partially cloudy"
"Adana, Türkiye",12/24/2020,61.2,41.6,49.3,36.2,,0,0,0,10.6,111.42,,5.5,0,42.53,Clear
"Adana, Türkiye",12/25/2020,64.6,35.1,47.2,34.6,,0,0,0,8,82.42,,4.2,0,57.58,Clear
