Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",10/01/2020,86.3,71.8,78.4,,87.6,0,0,0,17,158.92,,6.2,52.4,64.78,Partially cloudy
"Adana, Türkiye",10/02/2020,87.3,67.7,77,,86.8,0,0,0,10.9,145.46,,6.2,34.2,66.2,Partially cloudy
"Adana, Türkiye",10/03/2020,91,67.4,76.6,,88.2,0,0,0,12.9,122.29,,6.2,0,66.21,Clear
"Adana, Türkiye",10/04/2020,92,67.4,77.3,,88.7,0,0,0,15,120.71,,6.2,0,62.09,Clear
"Adana, Türkiye",10/05/2020,94.3,66,78,,90.4,0,0,0,13.6,149.29,,6.2,0,55.85,Clear
"Adana, Türkiye",10/06/2020,95.9,66.1,78.9,,92.9,0,0,0,13,132.83,,6.2,0,55.85,Clear
"Adana, Türkiye",10/07/2020,93,69.2,79.6,,98.6,0,0,0,10.3,105.08,,6.2,0,65.21,Clear
"Adana, Türkiye",10/08/2020,98.2,71,82.4,,94.5,0,0,0,6.9,90,,6.2,0.1,54.86,Clear
"Adana, Türkiye",10/09/2020,95.9,70.2,82.2,,91.3,0,0,0,13,53.17,25.3,6.2,0,30.08,Clear
"Adana, Türkiye",10/10/2020,94.9,70.5,83,,90.6,0,0,0,12.7,99.5,,6.2,0,27.33,Clear
"Adana, Türkiye",10/11/2020,90.2,64.8,76.4,,89.7,0,0,0,10.6,176.67,,6.1,0.5,56.04,Clear
"Adana, Türkiye",10/12/2020,90.2,66.4,76.8,,90.5,0,0,0,9.5,137.67,,6.2,0,73.12,Clear
"Adana, Türkiye",10/13/2020,86.4,66.6,75.7,,87.9,0,0,0,10.9,157.29,,6.2,32.5,76.25,Partially cloudy
"Adana, Türkiye",10/14/2020,88.2,66.7,76.1,,89.2,0,0,0,11.5,142,,6.2,12.2,73.8,Clear
"Adana, Türkiye",10/15/2020,88.2,70.2,77.9,,91.4,0,0,0,12.2,107.17,,6.2,43.9,75.91,Partially cloudy
"Adana, Türkiye",10/16/2020,86.6,65.9,75.6,,87.9,0,0,0,9.4,144.13,,6.2,36.9,73.11,Partially cloudy
"Adana, Türkiye",10/17/2020,86.6,64.1,75.2,,88,0,0,0,11.7,125.46,,6.2,16,73.72,Clear
"Adana, Türkiye",10/18/2020,86.6,65.9,75.5,,88.9,0,0,0,11.2,128.33,,5.9,2.2,78.79,Clear
"Adana, Türkiye",10/19/2020,86.9,68.5,76.6,,89.6,0,0,0,8.7,117.58,,6.2,37.1,72.33,Partially cloudy
"Adana, Türkiye",10/20/2020,84.5,66.6,75,,84,0,0,0,6.5,140.33,,6.2,56.6,61.98,Partially cloudy
"Adana, Türkiye",10/21/2020,93.1,64.9,77,,89.5,0,0,0,13.3,108.58,,6.2,1.7,58.47,Clear
"Adana, Türkiye",10/22/2020,87.6,68.5,76.9,,88.9,0,0,0,10.2,93.58,,6.2,20,67.99,Clear
"Adana, Türkiye",10/23/2020,95.9,65.2,78.1,,91.8,0,0,0,7.3,118.25,,6.2,0.1,53.07,Clear
"Adana, Türkiye",10/24/2020,97.2,64.1,78.8,,92.4,0,0,0,9.6,69.13,,5.9,0.1,34.98,Clear
"Adana, Türkiye",10/25/2020,93.9,65.7,76.3,,89.4,0,0,0,7.4,139.25,,6.2,0.1,40.29,Clear
