Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",09/01/2020,99.5,72.3,84.2,,112.8,0,0,0,11.1,178.25,,4.3,33,81.26,Partially cloudy
"Adana, Türkiye",09/02/2020,101.3,78.3,87.1,,114.1,0,0,0,10.7,197.88,,6.1,21.5,75.91,Clear
"Adana, Türkiye",09/03/2020,113.9,79.1,93.8,,110.1,0,0,0,8.9,125.21,,6.2,0,52.42,Clear
"Adana, Türkiye",09/04/2020,108.8,76.7,91.2,,110.1,0,0,0,12.4,176.96,,6.2,0,55.52,Clear
"Adana, Türkiye",09/05/2020,98.2,77.9,86.7,,110.5,0,0,0,11.8,177,,6.2,1,75.04,Clear
"Adana, Türkiye",09/06/2020,93.8,76.2,84.4,,103.4,0,0,0,10.3,163.71,,5.4,34.2,79.55,Partially cloudy
"Adana, Türkiye",09/07/2020,97.2,78.2,85.7,,108.7,0,0,0,12.7,170.21,,6.2,8.9,75.11,Clear
"Adana, Türkiye",09/08/2020,101.4,73.4,86.8,,104.4,0,0,0,13,184.58,,6.2,0,63.63,Clear
"Adana, Türkiye",09/09/2020,102.8,70.9,86.7,,102.2,0,0,0,13.2,209.5,,6.2,0,52.25,Clear
"Adana, Türkiye",09/10/2020,106.7,71.9,89.5,,103.2,0,0,0,7.3,98.79,,6.2,0,36.47,Clear
"Adana, Türkiye",09/11/2020,97.2,79.5,87.2,,105.8,0,0,0,12.6,130.92,,6.2,14.4,48.45,Clear
"Adana, Türkiye",09/12/2020,93.9,75.2,84.1,,108.4,0,0,0,12.1,200.58,,6.2,30.7,80.32,Partially cloudy
"Adana, Türkiye",09/13/2020,93,74.9,83.5,,98,0,0,0,11.2,170.75,,6.2,19.8,73.61,Clear
"Adana, Türkiye",09/14/2020,92.3,77.1,83.9,,100.1,0,0,0,11.4,142.88,,6.2,33.9,74.62,Partially cloudy
"Adana, Türkiye",09/15/2020,95.7,75.7,84.3,,105.4,0,0,0,11.4,185.42,,6.2,17.2,77.69,Clear
"Adana, Türkiye",09/16/2020,94.4,75.9,83.8,,106,0,0,0,11.6,159.92,,6.2,32.1,80.67,Partially cloudy
"Adana, Türkiye",09/17/2020,93.1,76.4,84,,103.5,0,0,0,10.1,170.96,,6.2,45.9,79.87,Partially cloudy
"Adana, Türkiye",09/18/2020,94.8,76.7,84.5,,105.5,0,0,0,11.9,156.54,,6.2,41,78.73,Partially cloudy
"Adana, Türkiye",09/19/2020,93.9,79,84.8,,103.6,0,0,0,11.5,118.21,,6.2,52.5,77.35,Partially cloudy
"Adana, Türkiye",09/20/2020,92,74.6,82,,95.5,0,0,0,11.7,128.46,,6.2,27,72.25,Partially cloudy
"Adana, Türkiye",09/21/2020,91.5,71.3,81.5,,94.5,0,0,0,11.6,108.5,,6.2,39,69.52,Partially cloudy
"Adana, Türkiye",09/22/2020,93.8,72.8,82.2,,97.2,0,0,0,12.1,125.92,,6.2,36.6,68.3,Partially cloudy
"Adana, Türkiye",09/23/2020,91.3,73.1,82,,96.7,0,0,0,10.8,166.75,,6.2,44.2,72.31,Partially cloudy
"Adana, Türkiye",09/24/2020,91.3,73.3,81.5,,98.4,0,0,0,13.1,150.25,,6.1,42,79.47,Partially cloudy
"Adana, Türkiye",09/25/2020,89.1,73.9,80.3,,93.8,0.04,0,0,15.2,119.54,,6.2,63.8,76.7,"Rain, Partially cloudy"
