Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",06/01/2020,79.9,61.9,70.4,,,0,0,0,11.3,150.71,,6.2,40.5,66.22,Partially cloudy
"Adana, Türkiye",06/02/2020,86.9,62,72.9,,84.1,0,0,0,17.7,161.63,,6.2,51.4,59.23,Partially cloudy
"Adana, Türkiye",06/03/2020,77.3,64.3,70.4,,,0,0,0,17.3,132.38,,6.2,61.1,74.65,Partially cloudy
"Adana, Türkiye",06/04/2020,79.9,60.5,70.3,,,0,0,0,13.3,175.5,,6.2,46,71.5,Partially cloudy
"Adana, Türkiye",06/05/2020,89.7,60.2,73.6,,87.8,0,0,0,12.9,168,,6.2,1.2,66.41,Clear
"Adana, Türkiye",06/06/2020,99.5,62.3,82.6,,95.1,0,0,0,8,123.25,,6.2,0,47.12,Clear
"Adana, Türkiye",06/07/2020,102.9,66.9,85.4,,99,0,0,0,8.5,105.13,,6.2,0,38.85,Clear
"Adana, Türkiye",06/08/2020,91.6,71,78.1,,92.6,0,0,0,12.1,156.04,,6.2,15.6,72.31,Clear
"Adana, Türkiye",06/09/2020,85.7,70.2,76.7,,86.8,0,0,0,11.7,156.92,,6.2,18.5,76.74,Clear
"Adana, Türkiye",06/10/2020,83.5,66.6,75.2,,86.5,0,0,0,13.3,169.04,,6.1,38.6,77.42,Partially cloudy
"Adana, Türkiye",06/11/2020,86.5,70.7,76.1,,89.1,0,0,0,14.8,149.92,,6.2,66.4,76.44,Partially cloudy
"Adana, Türkiye",06/12/2020,80.6,66.5,73.6,,82.2,0.35,0,0,17.8,186.38,,6,65.1,78.48,"Rain, Partially cloudy"
"Adana, Türkiye",06/13/2020,82,65.1,73.1,,81.3,0.72,0,0,18.3,151.83,,6.2,50.8,70.22,"Rain, Partially cloudy"
"Adana, Türkiye",06/14/2020,83.8,62.6,73,,83.9,0.08,0,0,10.8,182,,6.2,43.3,67.46,"Rain, Partially cloudy"
"Adana, Türkiye",06/15/2020,85.2,65.3,75.1,,86.6,0,0,0,12.7,167.5,,6.2,40,73.74,Partially cloudy
"Adana, Türkiye",06/16/2020,84.5,65.9,75.4,,86.2,0,0,0,12.3,153.79,,6.2,42.1,77.97,Partially cloudy
"Adana, Türkiye",06/17/2020,84.9,68.4,76.6,,89.9,0,0,0,10.6,160.29,,6.2,48.5,79.32,Partially cloudy
"Adana, Türkiye",06/18/2020,85.1,69.4,76.7,,88.9,0.03,0,0,16.8,174.88,,6.2,45.8,79.17,"Rain, Partially cloudy"
"Adana, Türkiye",06/19/2020,83.1,69,74.6,,86.5,0.22,0,0,14.4,134.21,30,6.1,56.7,81.01,"Rain, Partially cloudy"
"Adana, Türkiye",06/20/2020,86.9,67.4,76.8,,89.1,0,0,0,13.8,129.29,,6.2,49.9,73.13,Partially cloudy
"Adana, Türkiye",06/21/2020,86.6,71.6,77.8,,90,0,0,0,11.2,147.33,,6.2,53.2,80.68,Partially cloudy
"Adana, Türkiye",06/22/2020,88.9,67.7,78.2,,89.3,0,0,0,13.5,159.58,,6.2,25.6,71.59,Partially cloudy
"Adana, Türkiye",06/23/2020,86.6,69.2,77.7,,90.6,0,0,0,13.9,142.79,,6.2,50.5,77.51,Partially cloudy
"Adana, Türkiye",06/24/2020,84.8,70.9,77.5,,86.2,0,0,0,12.3,162.92,,6.2,49,74.31,Partially cloudy
"Adana, Türkiye",06/25/2020,89.5,68.9,78.5,,94.3,0,0,0,11.9,149.87,,6.2,44.2,75.05,Partially cloudy
