Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",11/01/2020,81.2,61.2,70.4,,81.3,0,0,0,8.4,130.42,,6.2,26.1,69.8,Partially cloudy
"Adana, Türkiye",11/02/2020,81.2,63.3,70.5,,81.4,0.02,0,0,10.6,93.54,,6.2,60.7,63.47,"Rain, Partially cloudy"
"Adana, Türkiye",11/03/2020,77.4,60.2,67.9,,,0.03,0,0,10.4,87.63,,6.2,72.6,64.26,"Rain, Partially cloudy"
"Adana, Türkiye",11/04/2020,63.9,58.7,60.5,,,1.33,0,0,13.1,60.04,,6.1,88.9,91.3,"Rain, Overcast"
"Adana, Türkiye",11/05/2020,73.5,58,65.2,,,0.34,0,0,12.6,78.63,6.9,6.2,88.3,71.59,"Rain, Overcast"
"Adana, Türkiye",11/06/2020,77.7,59.4,68.8,,,0,0,0,12,171.29,,6.2,50.2,65.31,Partially cloudy
"Adana, Türkiye",11/07/2020,78.1,63.4,69.5,,,0,0,0,16.9,55.25,,6.2,0,38.4,Clear
"Adana, Türkiye",11/08/2020,81,57.5,68.2,,79.3,0,0,0,12.9,31.38,,6.2,0,38.93,Clear
"Adana, Türkiye",11/09/2020,81.7,56.5,67.5,,79.8,0,0,0,9.3,76.96,,6.2,0.1,46.31,Clear
"Adana, Türkiye",11/10/2020,81.5,57.4,67.2,,80.1,0,0,0,7.4,96.71,,6.2,0,57.22,Clear
"Adana, Türkiye",11/11/2020,81,54.6,65.5,,79.5,0,0,0,6.8,116.33,,6,0,60.87,Clear
"Adana, Türkiye",11/12/2020,79.4,52.1,64.3,,,0,0,0,8.5,66.17,,6.2,0,50.35,Clear
"Adana, Türkiye",11/13/2020,78,50.4,62.6,,,0,0,0,6.6,92.21,,6.2,0,55.82,Clear
"Adana, Türkiye",11/14/2020,75.8,52.5,62.3,,,0,0,0,9.1,71.79,,5.9,0.1,57.28,Clear
"Adana, Türkiye",11/15/2020,73.8,52,60.6,,,0,0,0,8.4,178.79,,5.6,13.5,56.44,Clear
"Adana, Türkiye",11/16/2020,74.5,46.2,60,48.5,,0,0,0,5.4,137.88,,5.2,10.3,58.45,Clear
"Adana, Türkiye",11/17/2020,74.3,52.2,61.4,,,0,0,0,7.3,83.29,,5.7,0,58.42,Clear
"Adana, Türkiye",11/18/2020,75.1,49.7,59.9,,,0,0,0,6.5,77.79,,5.6,0,59.9,Clear
"Adana, Türkiye",11/19/2020,73.7,48.6,61,47.2,,0,0,0,12.1,38.79,,6.1,21.7,48.81,Clear
"Adana, Türkiye",11/20/2020,62.3,56.6,59.3,,,0.12,0,0,16.5,33,,6.2,88.9,65.62,"Rain, Overcast"
"Adana, Türkiye",11/21/2020,72.7,53.3,62.5,,,0,0,0,10.1,113.79,,6.2,43.4,60.17,Partially cloudy
"Adana, Türkiye",11/22/2020,71.5,46.4,58.6,,,0,0,0,8,158.13,,5.6,0,61.25,Clear
"Adana, Türkiye",11/23/2020,71.2,43.2,55.5,41.8,,0,0,0,7.2,139.96,,5.5,0,56,Clear
"Adana, Türkiye",11/24/2020,72.5,42.8,55,42.3,,0,0,0,6.8,109.63,,5.5,0.1,53.45,Clear
"Adana, Türkiye",11/25/2020,67,43.1,56.8,45,,0,0,0,11.8,55.25,,6.2,3.9,43.37,Clear
