Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",03/01/2020,64.4,47.5,54.8,46.3,,1.22,0,0,9.6,137.21,,5.8,26.8,81.45,"Rain, Partially cloudy"
"Adana, Türkiye",03/02/2020,66.2,46.1,55.2,42.4,,0,0,0,10.2,92.71,,6.2,17.1,68.15,Clear
"Adana, Türkiye",03/03/2020,68,46.4,56.6,44.5,,0,0,0,6,131.54,,6,6.3,79.31,Clear
"Adana, Türkiye",03/04/2020,75.7,49.7,61.5,47.4,,0,0,0,9.8,51.58,,6.2,0.1,62.68,Clear
"Adana, Türkiye",03/05/2020,75.2,53.6,64.3,,,0,0,0,12.8,63.54,,6.2,13.9,51.61,Clear
"Adana, Türkiye",03/06/2020,68.7,53.1,62.6,,,0,0,0,10.3,113.92,,6.2,63.5,62.42,Partially cloudy
"Adana, Türkiye",03/07/2020,73.1,48.2,60.9,,,0,0,0,12.5,137.21,18.3,5.9,10.8,73.43,Clear
"Adana, Türkiye",03/08/2020,74,52,61.1,,,0,0,0,10.9,120.58,,6.2,19,81.7,Clear
"Adana, Türkiye",03/09/2020,82.2,50.8,65.3,,80.5,0,0,0,9.2,98.79,,5.7,0.1,64.98,Clear
"Adana, Türkiye",03/10/2020,70.2,53.8,61.9,,,0,0,0,15.9,172.42,,6.2,7.6,62.92,Clear
"Adana, Türkiye",03/11/2020,76.9,45.8,60.5,44.4,,0,0,0,10.1,150.79,,6.2,1.2,60.49,Clear
"Adana, Türkiye",03/12/2020,73.3,57.2,67.2,,,0.01,0,0,16.8,95.33,,6.2,57,46.41,"Rain, Partially cloudy"
"Adana, Türkiye",03/13/2020,68.8,60.3,64.4,,,0.92,0,0,20.8,27.33,28.9,6.2,67.2,67.96,"Rain, Partially cloudy"
"Adana, Türkiye",03/14/2020,75.9,58.7,65.5,,,0,0,0,12.4,89.5,,6.2,39.1,66.33,Partially cloudy
"Adana, Türkiye",03/15/2020,68.6,58.5,63.4,,,0,0,0,10.7,137.42,,5.1,63.6,87.09,Partially cloudy
"Adana, Türkiye",03/16/2020,70.6,57.5,62.8,,,0,0,0,13.3,177,,6.2,66.6,83.09,Partially cloudy
"Adana, Türkiye",03/17/2020,56.9,47.1,51,40.7,,0.65,0,0,18.3,84.04,32.2,6.2,70.5,75.25,"Rain, Partially cloudy"
"Adana, Türkiye",03/18/2020,55.1,44.5,50.1,40.2,,0.35,0,0,8.3,181.04,,6.2,68.7,58.63,"Rain, Partially cloudy"
"Adana, Türkiye",03/19/2020,56.2,44.7,49.7,39.8,,0.18,0,0,11,127.83,,6.2,68.6,62.19,"Rain, Partially cloudy"
"Adana, Türkiye",03/20/2020,55.7,44.3,48.5,41.9,,0.06,0,0,14.4,73.79,,6.2,65.8,77.68,"Rain, Partially cloudy"
"Adana, Türkiye",03/21/2020,67.8,39.1,53.2,38.9,,0,0,0,11.8,178.13,,6.2,3.3,59.97,Clear
"Adana, Türkiye",03/22/2020,68.6,39.2,54.7,39.5,,0,0,0,12.3,137.33,,6.2,3.5,65.2,Clear
"Adana, Türkiye",03/23/2020,68.9,47.6,57.9,45.1,,0,0,0,8.5,106.67,,6.2,53.5,72.03,Partially cloudy
"Adana, Türkiye",03/24/2020,75.2,50.1,63.3,,,0,0,0,14.8,90.75,,6.2,60.4,57.59,Partially cloudy
"Adana, Türkiye",03/25/2020,73.7,56.1,63.4,,,0.02,0,0,13.2,106.17,,6.2,55.3,65.42,"Rain, Partially cloudy"
"Adana, Türkiye",03/26/2020,75.9,51.3,63.6,,,0,0,0,7.7,145.17,,6.2,10.1,69.9,Clear
"Adana, Türkiye",03/27/2020,66,58,62.7,,,0.19,0,0,17.9,91.5,,6.2,61.6,67.8,"Rain, Partially cloudy"
"Adana, Türkiye",03/28/2020,68.1,49.7,59.1,48.3,,0.13,0,0,18.7,131.75,,6.2,64.1,81.06,"Rain, Partially cloudy"
"Adana, Türkiye",03/29/2020,66.5,51.8,58.3,,,0.16,0,0,21.8,105.71,35.8,6.2,55.7,75.93,"Rain, Partially cloudy"
"Adana, Türkiye",03/30/2020,68.9,45.8,57.7,42.6,,0,0,0,8.3,107.71,,6.2,49.7,70.21,Partially cloudy
"Adana, Türkiye",03/31/2020,68,52,60.7,,,0.02,0,0,17.1,47.17,,6.2,60,66.03,"Rain, Partially cloudy"
"Adana, Türkiye",04/01/2020,70.1,57,62.5,,,0.05,0,0,18.5,150.08,,6.2,60.8,68.25,"Rain, Partially cloudy"
