Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",05/01/2020,67,56.9,61.2,,,1.32,0,0,9.9,101.46,,6.1,65.5,93.74,"Rain, Partially cloudy"
"Adana, Türkiye",05/02/2020,73.7,55.1,63,,,0.09,0,0,8.8,110.71,,6.2,59.7,88.55,"Rain, Partially cloudy"
"Adana, Türkiye",05/03/2020,70.2,59.8,64.1,,,0.58,0,0,11.9,119.17,,6.1,70.1,88.62,"Rain, Partially cloudy"
"Adana, Türkiye",05/04/2020,73.5,60.5,65.2,,,1.07,0,0,13.5,124.88,,5.7,64.9,87.68,"Rain, Partially cloudy"
"Adana, Türkiye",05/05/2020,76.7,59,66.9,,,0.03,0,0,14.6,151.17,,6.2,59.8,79.69,"Rain, Partially cloudy"
"Adana, Türkiye",05/06/2020,78.4,58.4,67.9,,,0,0,0,13.8,147.33,,6.2,47.3,74.16,Partially cloudy
"Adana, Türkiye",05/07/2020,74.5,62.4,68.4,,,0,0,0,15,155.33,,6.2,59.7,77.27,Partially cloudy
"Adana, Türkiye",05/08/2020,72,58.7,66.3,,,0,0,0,9.8,99.13,,6.2,62,77.59,Partially cloudy
"Adana, Türkiye",05/09/2020,82.5,60.5,71,,81.1,0,0,0,14.8,119.63,,6.2,47.9,55.81,Partially cloudy
"Adana, Türkiye",05/10/2020,79.4,60.1,69.4,,,0,0,0,13.8,164.42,,6.2,14,74.32,Clear
"Adana, Türkiye",05/11/2020,80.5,61.7,70,,81.5,0,0,0,10.9,147.54,,6.2,29.4,74.95,Partially cloudy
"Adana, Türkiye",05/12/2020,82.3,58.7,70.6,,83,0,0,0,9,130.04,,6.2,8.2,72.9,Clear
"Adana, Türkiye",05/13/2020,84.6,62,72.4,,86.4,0,0,0,9.2,175.83,,6.2,1.3,75.02,Clear
"Adana, Türkiye",05/14/2020,96.9,60.5,78.5,,93.5,0,0,0,11.5,129.54,,6,0,60.97,Clear
"Adana, Türkiye",05/15/2020,101,68,84.4,,96.5,0,0,0,11.4,95.75,,6.2,0,44.53,Clear
"Adana, Türkiye",05/16/2020,103.5,71,86.6,,104.5,0,0,0,11.2,109.25,,6.2,0,45.21,Clear
"Adana, Türkiye",05/17/2020,103.7,75.6,89,,99.9,0,0,0,14.4,90.25,,6.2,0,32.16,Clear
"Adana, Türkiye",05/18/2020,102.9,77.9,89.3,,102.1,0,0,0,9.9,115.67,,6.2,0,29.88,Clear
"Adana, Türkiye",05/19/2020,103.9,69.8,87.2,,103.7,0,0,0,13,130.88,,6.2,0.1,42.43,Clear
"Adana, Türkiye",05/20/2020,100.8,70.3,86.6,,100.6,0,0,0,13.2,161,19.7,6.2,0,40.83,Clear
"Adana, Türkiye",05/21/2020,98.2,70.8,84.4,,97.7,0,0,0,10.9,120.46,,6.2,0.1,47.82,Clear
"Adana, Türkiye",05/22/2020,85.5,70.5,78.2,,90.5,0,0,0,20.3,163.63,,6.2,40.4,65.6,Partially cloudy
"Adana, Türkiye",05/23/2020,81,68,73.7,,80,0,0,0,15,198.67,,6.2,48.1,42.05,Partially cloudy
"Adana, Türkiye",05/24/2020,75.7,61.6,68.6,,,0.03,0,0,23.5,293.96,40.3,6.2,45.2,34.43,"Rain, Partially cloudy"
"Adana, Türkiye",05/25/2020,79.2,59,70.5,,,0,0,0,14.1,169.13,,6.2,1.4,38.44,Clear
"Adana, Türkiye",05/26/2020,86.9,59.7,72.9,,84.1,0,0,0,9.2,134.38,,6.2,0.1,50.57,Clear
"Adana, Türkiye",05/27/2020,92.1,64.8,77.7,,89.7,0,0,0,12.5,166.33,,6.2,0,47.55,Clear
"Adana, Türkiye",05/28/2020,80.9,65.1,72.2,,80.8,0,0,0,15.5,147.83,,6.2,22.5,66.95,Clear
"Adana, Türkiye",05/29/2020,75.6,60.1,68.5,,,0,0,0,19.8,170.75,,6.2,38.6,65.37,Partially cloudy
"Adana, Türkiye",05/30/2020,79.4,59.8,69.8,,,0,0,0,13,134.58,,6.2,41.8,63.23,Partially cloudy
"Adana, Türkiye",05/31/2020,81.2,62.2,70.7,,81.2,0,0,0,12.5,137.13,,6.2,47.6,68.39,Partially cloudy
"Adana, Türkiye",06/01/2020,79.9,61.9,70.4,,,0,0,0,11.3,150.71,,6.2,40.5,66.22,Partially cloudy
