Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",04/01/2020,70.1,57,62.5,,,0.05,0,0,18.5,150.08,,6.2,60.8,68.25,"Rain, Partially cloudy"
"Adana, Türkiye",04/02/2020,68.1,55.4,61,,,0.09,0,0,20.2,105.92,,6.2,62.5,81.63,"Rain, Partially cloudy"
"Adana, Türkiye",04/03/2020,66.5,52,59.7,,,0.28,0,0,21.7,173.54,27.7,6.2,63.6,79.47,"Rain, Partially cloudy"
"Adana, Türkiye",04/04/2020,73.7,46.1,59.5,43.7,,0,0,0,7.6,80.13,,6.2,8.3,60.05,Clear
"Adana, Türkiye",04/05/2020,76.7,58.4,67.4,,,0,0,0,25.1,34.38,,6.2,8.9,50.05,Clear
"Adana, Türkiye",04/06/2020,72.7,56.5,63.7,,,0,0,0,12.2,203.54,,6.2,52.7,77.99,Partially cloudy
"Adana, Türkiye",04/07/2020,71.9,57.2,63.9,,,0,0,0,13.3,167.5,,6.1,62.2,82.14,Partially cloudy
"Adana, Türkiye",04/08/2020,71,59.3,63.8,,,0,0,0,12.5,140.08,,6.2,69.2,78.74,Partially cloudy
"Adana, Türkiye",04/09/2020,65.4,53.3,59,,,0.06,0,0,8.1,97.17,,6.2,63.1,83.12,"Rain, Partially cloudy"
"Adana, Türkiye",04/10/2020,68.6,47.9,58.7,,,0.05,0,0,13.8,145.63,,6.2,56.6,80.45,"Rain, Partially cloudy"
"Adana, Türkiye",04/11/2020,73.3,50.5,61.3,,,0,0,0,13.4,126.79,,6.2,2.3,73.53,Clear
"Adana, Türkiye",04/12/2020,73.7,54.1,62.7,,,0,0,0,12.2,113.75,,6.2,48.1,77.79,Partially cloudy
"Adana, Türkiye",04/13/2020,76.6,51.4,63.4,,,0,0,0,12,97.42,,6.2,15.3,66.99,Clear
"Adana, Türkiye",04/14/2020,81.3,48.9,64.3,,79.4,0,0,0,11.6,140.46,,6.2,0,56.43,Clear
"Adana, Türkiye",04/15/2020,75.5,52.7,62.9,,,0.02,0,0,11.8,121.42,,6.2,28.8,72.8,"Rain, Partially cloudy"
"Adana, Türkiye",04/16/2020,76.5,54.1,65.2,,,0,0,0,6.6,147.92,,6.2,56.1,64.67,Partially cloudy
"Adana, Türkiye",04/17/2020,83.1,53.1,68.6,,81.8,0,0,0,10.9,176.67,,6.2,6.9,55.02,Clear
"Adana, Türkiye",04/18/2020,84.2,55.7,69.7,,82.6,0,0,0,13.6,144.58,,6.2,0.1,61.08,Clear
"Adana, Türkiye",04/19/2020,83,56.6,69,,82.2,0,0,0,10.5,131.21,,6.1,0,70.67,Clear
"Adana, Türkiye",04/20/2020,84.8,57.7,69.3,,82.3,0,0,0,11.5,175.17,,5.2,15.4,68.74,Clear
"Adana, Türkiye",04/21/2020,80.3,56.1,67.2,,79.6,0,0,0,10.7,109.58,,6.2,8.6,68.07,Clear
"Adana, Türkiye",04/22/2020,79.5,56.8,66.2,,,0,0,0,14,145.08,,6.2,22.3,69.98,Clear
"Adana, Türkiye",04/23/2020,76.6,55,65.3,,,0.35,0,0,13.5,138.79,,6.2,44,71.74,"Rain, Partially cloudy"
"Adana, Türkiye",04/24/2020,69.9,54,60.8,,,0.05,0,0,7.8,103.67,,6.2,59.1,67.36,"Rain, Partially cloudy"
"Adana, Türkiye",04/25/2020,71.1,53.6,62,,,0.01,0,0,13,149.46,,6.2,62.2,72.38,"Rain, Partially cloudy"
"Adana, Türkiye",04/26/2020,76.5,50.5,63.6,,,0,0,0,16.3,130.42,,6.2,42.7,73.9,Partially cloudy
"Adana, Türkiye",04/27/2020,73.7,60.3,66.1,,,0,0,0,14.3,161.13,,6.2,61.5,77.3,Partially cloudy
"Adana, Türkiye",04/28/2020,80.3,55.1,66.9,,80.5,0,0,0,10.7,153.21,,6.2,44.7,75.06,Partially cloudy
"Adana, Türkiye",04/29/2020,84.9,55.1,69,,82.9,0.04,0,0,14.4,126.08,,6.2,39.6,68.48,"Rain, Partially cloudy"
"Adana, Türkiye",04/30/2020,75.6,61.2,68.1,,,0,0,0,14,140.08,,6.2,63.7,77.66,Partially cloudy
"Adana, Türkiye",05/01/2020,67,56.9,61.2,,,1.32,0,0,9.9,101.46,,6.1,65.5,93.74,"Rain, Partially cloudy"
