Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",01/01/2020,60.8,41.8,50,40.5,,0,0,0,9,79.75,,5,23.6,75.24,Clear
"Adana, Türkiye",01/02/2020,56.9,41.2,49.4,41.1,,0,0,0,9.9,50.75,,6,55.4,72.06,Partially cloudy
"Adana, Türkiye",01/03/2020,52.3,47.9,49.9,44.5,,0.65,0,0,11.7,35.58,,4.9,71.1,87.32,"Rain, Partially cloudy"
"Adana, Türkiye",01/04/2020,53.6,47.2,49.9,44.4,,0.5,0,0,8.2,45.79,,5.1,69.4,90.08,"Rain, Partially cloudy"
"Adana, Türkiye",01/05/2020,59,43,49.2,40.1,,0,0,0,8.2,92.92,,5.1,47.6,63.6,Partially cloudy
"Adana, Türkiye",01/06/2020,49,42.1,47,37.2,,0.85,0,0,16,33.33,,5.3,68.4,82.84,"Rain, Partially cloudy"
"Adana, Türkiye",01/07/2020,51.5,47.2,48.8,42.9,,2.5,0,0,14.6,75.92,18.3,3,67.5,92.43,"Rain, Partially cloudy"
"Adana, Türkiye",01/08/2020,55.1,46.4,50.3,42.4,,1.08,0,0,9,180.42,,3.9,70.5,87.37,"Rain, Partially cloudy"
"Adana, Türkiye",01/09/2020,62.6,42.3,51.8,39.6,,0,0,0,12.6,113.04,,5.1,17.9,65.1,Clear
"Adana, Türkiye",01/10/2020,61.1,42.8,51.5,40.1,,0,0,0,12.3,138.25,,5.7,0,45.22,Clear
"Adana, Türkiye",01/11/2020,59.3,35.1,45.8,33.4,,0,0,0,7.9,217.29,,4.7,1.3,69.61,Clear
"Adana, Türkiye",01/12/2020,59.4,42.9,50,38.9,,0,0,0,7.8,77,64.4,4.4,42.9,76.16,Partially cloudy
"Adana, Türkiye",01/13/2020,63.5,39.2,50,38.3,,0,0,0,6.8,173.54,57.5,4.9,1.4,72.64,Clear
"Adana, Türkiye",01/14/2020,61.4,36.7,48.6,35.3,,0,0,0,9.2,139.58,,5.1,0.1,70.06,Clear
"Adana, Türkiye",01/15/2020,61.6,40.4,49.1,36.6,,0,0,0,5.8,56.96,,4.4,0.2,70.02,Clear
"Adana, Türkiye",01/16/2020,63.3,40.3,52,37.2,,0,0,0,18.6,54.83,,5.8,26.3,53.52,Partially cloudy
"Adana, Türkiye",01/17/2020,51.8,47.9,49.7,41.1,,0.15,0,0,18.9,49.58,,5.6,69.5,71.63,"Rain, Partially cloudy"
"Adana, Türkiye",01/18/2020,60.7,41.5,49.5,38.3,,0,0,0,7.6,178.42,,4.2,35.5,66.03,Partially cloudy
"Adana, Türkiye",01/19/2020,54.7,43.3,49.2,41.5,,0,0,0,9.8,64.04,,5.5,63.7,53.57,Partially cloudy
"Adana, Türkiye",01/20/2020,55.7,34.1,45.9,31.3,,0,0,0,14.4,146.71,,5.9,27.3,46.22,Partially cloudy
"Adana, Türkiye",01/21/2020,60.8,46,51.9,41.1,,0,0,0,17.9,166.63,29,6.2,14.8,32.04,Clear
"Adana, Türkiye",01/22/2020,60.6,38.8,50.6,35.9,,0,0,0,15,127.96,,5.7,0,34.51,Clear
"Adana, Türkiye",01/23/2020,59.4,34.7,47.4,29.6,,0,0,0,12.4,44.67,,5.2,5.2,55.23,Clear
"Adana, Türkiye",01/24/2020,52.3,40.5,47.7,34.7,,0,0,0,19.8,78.58,45,6.2,21.4,28.78,Clear
"Adana, Türkiye",01/25/2020,56.7,30,44,29.4,,0,0,0,8.9,158.88,,5.5,0,49.6,Clear
"Adana, Türkiye",01/26/2020,59.3,40.9,48.7,35.9,,0,0,0,8.5,59.13,,5.3,53.6,60.9,Partially cloudy
"Adana, Türkiye",01/27/2020,60.8,39.7,49,37.4,,0,0,0,7.4,61.04,,5.5,30,73.13,Partially cloudy
"Adana, Türkiye",01/28/2020,61.8,42.7,52.3,42.9,,0,0,0,7.7,86,,5.5,62.6,66.35,Partially cloudy
"Adana, Türkiye",01/29/2020,61.6,48.9,53.6,49.1,,0.12,0,0,6.1,135.33,,4.8,63.7,79.1,"Rain, Partially cloudy"
"Adana, Türkiye",01/30/2020,57.3,50.7,53.2,,,0.22,0,0,7,108.88,,3,68.9,94.21,"Rain, Partially cloudy"
"Adana, Türkiye",01/31/2020,55.4,43.8,51,39.4,,0.75,0,0,20.9,253.63,35.8,5.3,43.3,56.6,"Rain, Partially cloudy"
"Adana, Türkiye",02/01/2020,58.8,35.3,45.9,33.4,,0,0,0,8.4,112,,5.6,14.1,58.23,Clear
