Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",07/01/2020,92.3,73.2,82.1,,97.4,0,0,0,15.5,185.83,,6.2,30.4,74.42,Partially cloudy
"Adana, Türkiye",07/02/2020,97.7,71.6,83.5,,103.5,0,0,0,11.2,155.88,18.3,5.9,26.1,71.46,Partially cloudy
"Adana, Türkiye",07/03/2020,98,70.3,83.7,,103.8,0,0,0,10.7,176.38,,6.2,11.5,70.82,Clear
"Adana, Türkiye",07/04/2020,96,73.3,84,,109.8,0,0,0,11.5,193.79,,6.2,23.6,76.51,Clear
"Adana, Türkiye",07/05/2020,95.6,76.7,84,,109.6,0,0,0,13.4,164.38,,6.2,25.2,78.49,Partially cloudy
"Adana, Türkiye",07/06/2020,95.5,76.7,83.3,,109.3,0,0,0,10.6,177.29,,6,43.5,80.64,Partially cloudy
"Adana, Türkiye",07/07/2020,90.9,76.8,82.8,,101.6,0,0,0,11.9,171.13,,6.2,54.1,81.87,Partially cloudy
"Adana, Türkiye",07/08/2020,90.5,74.6,82.3,,95.1,0,0,0,15.1,160.57,,6.1,42.8,72.3,Partially cloudy
"Adana, Türkiye",07/09/2020,92.3,72.8,81.8,,99,0,0,0,13.3,199.67,,6.1,20.8,74.28,Clear
"Adana, Türkiye",07/10/2020,91.3,73.9,82.6,,102.2,0,0,0,12,184.71,,6.2,31,77.51,Partially cloudy
"Adana, Türkiye",07/11/2020,91.5,76.4,83.6,,103.4,0,0,0,12.9,153.5,,6.2,39.3,78.53,Partially cloudy
"Adana, Türkiye",07/12/2020,92.9,76.9,84.1,,103.1,0,0,0,13.2,178.67,,6.2,43.7,78.63,Partially cloudy
"Adana, Türkiye",07/13/2020,93.8,77.7,84.4,,105.4,0,0,0,13.7,190.96,,6.2,52.2,79,Partially cloudy
"Adana, Türkiye",07/14/2020,95.3,75.7,85,,105.5,0,0,0,14.5,153.5,,5.9,24.5,75.17,Clear
"Adana, Türkiye",07/15/2020,94.5,74.9,84.7,,106.7,0,0,0,12.8,186.13,,6.2,25.6,77.74,Partially cloudy
"Adana, Türkiye",07/16/2020,91.3,78.8,84.1,,104.1,0,0,0,10.6,170.17,,6.2,51,81.04,Partially cloudy
"Adana, Türkiye",07/17/2020,89.9,77.3,83,,100.3,0,0,0,14.1,179.13,,6.2,65.2,79.23,Partially cloudy
"Adana, Türkiye",07/18/2020,90,77,82.6,,101.3,0,0,0,13.9,185.67,,6.2,77.4,76.53,Overcast
"Adana, Türkiye",07/19/2020,93.1,77.8,83.9,,105.6,0,0,0,11.2,192.46,,6.2,52.9,75.49,Partially cloudy
"Adana, Türkiye",07/20/2020,94.1,73.1,83.9,,103.4,0,0,0,11.1,181.13,,6,12.8,76.36,Clear
"Adana, Türkiye",07/21/2020,92.8,78.2,84.6,,107.8,0,0,0,10.4,154.75,,6.2,46.4,80.04,Partially cloudy
"Adana, Türkiye",07/22/2020,96.6,77,85.5,,106.8,0,0,0,15.5,175.92,,6.1,29,72.47,Partially cloudy
"Adana, Türkiye",07/23/2020,98.7,75.6,85.7,,103.8,0,0,0,12.9,203.67,,5.7,22.9,71.41,Clear
"Adana, Türkiye",07/24/2020,94.5,78.4,85.5,,108.3,0,0,0,10.6,184.29,,6.2,29.9,78.3,Partially cloudy
"Adana, Türkiye",07/25/2020,93.8,78.5,85.3,,106.5,0,0,0,11.8,161.83,,6.2,43.4,78.15,Partially cloudy
